company,Date,Open,High,Low,Close,Adj Close,Volume
ATRO,2017-06-26,25.888325,26.057529,25.727579,25.778341,25.778341,126592
ATRO,2017-07-03,25.930626,26.159052,25.406092,25.939087,25.939087,483674
ATRO,2017-07-10,25.871405,26.802031,25.75296,26.218273,26.218273,373631
ATRO,2017-07-17,26.201353,26.624365,25.744501,25.854485,25.854485,498567
ATRO,2017-07-24,25.778341,25.939087,24.636209,25.126904,25.126904,667712
ATRO,2017-07-31,25.152285,25.177666,20.262266,21.260574,21.260574,1855149
ATRO,2017-08-07,21.260574,22.529612,21.209814,22.131981,22.131981,1577024
ATRO,2017-08-14,22.17428,22.614214,21.954315,22.148899,22.148899,1311310
ATRO,2017-08-21,22.12352,22.377327,21.979694,22.12352,22.12352,963330
ATRO,2017-08-28,22.12352,22.402706,21.954315,22.14044,22.14044,735085
ATRO,2017-09-04,22.14044,22.774958,21.988155,22.428087,22.428087,862269
ATRO,2017-09-11,22.631134,24.856176,22.428087,24.162437,24.162437,1327741
ATRO,2017-09-18,24.179358,24.678511,24.137056,24.619289,24.619289,697616
ATRO,2017-09-25,24.636209,25.693739,23.790186,25.169205,25.169205,894892
ATRO,2017-10-02,25.160746,26.895094,25.084602,26.429779,26.429779,666530
ATRO,2017-10-09,26.607445,26.649746,25.854485,26.108292,26.108292,469727
ATRO,2017-10-16,26.175974,28.764805,25.981386,28.747885,28.747885,986615
ATRO,2017-10-23,28.764805,30.516073,28.392555,30.296108,30.296108,961794
ATRO,2017-10-30,30.03384,30.228426,28.637901,29.64467,29.64467,880471
ATRO,2017-11-06,29.636209,32.927242,28.722504,32.335026,32.335026,1192874
ATRO,2017-11-13,32.165821,32.715736,29.636209,32.521152,32.521152,575280
ATRO,2017-11-20,32.580372,33.824028,32.284264,33.52792,33.52792,368784
ATRO,2017-11-27,33.519459,35.423012,33.138748,34.68697,34.68697,727757
ATRO,2017-12-04,35.160744,37.385788,33.688663,36.590527,36.590527,877635
ATRO,2017-12-11,36.379021,36.379021,33.959393,34.940777,34.940777,1634588
ATRO,2017-12-18,37.22504,37.22504,35.152283,36.184433,36.184433,667593
ATRO,2017-12-25,36.150593,36.556683,35.076141,35.084602,35.084602,346799
ATRO,2018-01-01,35.304569,35.862946,33.950932,34.746193,34.746193,608612
ATRO,2018-01-08,34.712353,41.03215,33.502537,40.059223,40.059223,1110962
ATRO,2018-01-15,40.499153,41.835873,37.148899,39.103214,39.103214,682369
ATRO,2018-01-22,39.018612,40.160744,38.367172,40.06768,40.06768,582726
ATRO,2018-01-29,39.96616,40.228428,36.192894,36.260574,36.260574,627287
ATRO,2018-02-05,35.854485,36.252113,32.292725,33.071068,33.071068,721256
ATRO,2018-02-12,33.291031,36.260574,32.715736,35.431473,35.431473,605656
ATRO,2018-02-19,35.31303,35.778343,34.230118,34.458546,34.458546,596083
ATRO,2018-02-26,34.68697,36.082909,31.692047,33.849407,33.849407,1587781
ATRO,2018-03-05,33.714043,34.796955,31.548223,34.661591,34.661591,768772
ATRO,2018-03-12,34.636211,34.805416,32.326565,32.622673,32.622673,1027040
ATRO,2018-03-19,32.563454,32.994923,30.067682,30.101522,30.101522,686034
ATRO,2018-03-26,30.66836,32.047379,30.245346,31.556684,31.556684,558849
ATRO,2018-04-02,31.514381,31.971235,29.62775,29.915398,29.915398,1182711
ATRO,2018-04-09,30.194586,31.226734,29.238579,31.015228,31.015228,790876
ATRO,2018-04-16,31.243654,33.502537,31.133673,32.783417,32.783417,450224
ATRO,2018-04-23,32.952621,33.18951,31.683586,31.886633,31.886633,435684
ATRO,2018-04-30,32.021996,32.377327,29.720812,30.228426,30.228426,581071
ATRO,2018-05-07,30.329948,31.988155,28.071066,29.483927,29.483927,1146303
ATRO,2018-05-14,29.619289,30.66836,28.688663,30.338409,30.338409,597855
ATRO,2018-05-21,30.473772,30.947548,29.145515,29.746193,29.746193,419019
ATRO,2018-05-28,29.619289,31.218273,29.483927,31.150593,31.150593,378477
ATRO,2018-06-04,31.167513,31.895094,29.602369,31.734348,31.734348,686742
ATRO,2018-06-11,31.751268,33.062607,30.947548,33.020306,33.020306,942646
ATRO,2018-06-18,32.749577,33.257191,30.913706,31.184433,31.184433,704709
ATRO,2018-06-25,31.015228,31.615906,29.720812,30.431473,30.431473,432967
ATRO,2018-07-02,30.177666,31.175974,30.084602,30.744501,30.744501,245973
ATRO,2018-07-09,30.896786,32.648052,30.600677,32.360405,32.360405,244320
ATRO,2018-07-16,32.394245,33.747887,32.12352,33.502537,33.502537,241128
ATRO,2018-07-23,33.460236,34.983082,32.445007,33.49408,33.49408,394669
ATRO,2018-07-30,33.536381,38.781727,32.884941,35.186127,35.186127,996781
ATRO,2018-08-06,35.31303,38.257191,34.856174,38.020306,38.020306,999855
ATRO,2018-08-13,38.130287,39.170898,36.759727,37.681896,37.681896,611330
ATRO,2018-08-20,37.698814,39.390862,37.656513,38.062607,38.062607,454243
ATRO,2018-08-27,38.265652,38.688663,36.006767,36.81049,36.81049,335451
ATRO,2018-09-03,36.878174,37.648052,35.109982,37.22504,37.22504,783311
ATRO,2018-09-10,37.343487,37.648052,36.082909,36.734348,36.734348,552112
ATRO,2018-09-17,36.675125,37.351948,35.947548,36.759727,36.759727,1276324
ATRO,2018-09-24,36.945854,37.402706,35.803722,36.802029,36.802029,682960
ATRO,2018-10-01,36.937393,37.106598,33.697124,34.230118,34.230118,520908
ATRO,2018-10-08,34.263958,36.360001,31.780001,32.080002,32.080002,819894
ATRO,2018-10-15,32.169998,34.689999,32.0,32.669998,32.669998,529100
ATRO,2018-10-22,32.669998,33.259998,30.08,30.15,30.15,890300
ATRO,2018-10-29,30.57,31.530001,28.889999,29.9,29.9,853000
ATRO,2018-11-05,29.809999,31.4,27.559999,29.73,29.73,640300
ATRO,2018-11-12,29.85,31.49,28.24,31.41,31.41,1009200
ATRO,2018-11-19,31.389999,31.389999,29.209999,30.91,30.91,553400
ATRO,2018-11-26,31.15,32.459999,30.83,32.459999,32.459999,675600
ATRO,2018-12-03,32.959999,33.18,29.959999,30.389999,30.389999,640300
ATRO,2018-12-10,30.389999,32.290001,30.110001,31.77,31.77,695800
ATRO,2018-12-17,31.709999,32.459999,29.690001,30.549999,30.549999,1476600
ATRO,2018-12-24,30.32,30.91,28.24,30.35,30.35,625500
ATRO,2018-12-31,30.389999,31.0,28.49,28.959999,28.959999,609100
ATRO,2019-01-07,29.0,31.17,28.75,31.030001,31.030001,569400
ATRO,2019-01-14,30.85,31.23,30.0,30.67,30.67,396700
ATRO,2019-01-21,30.379999,31.190001,29.4,30.610001,30.610001,376100
ATRO,2019-01-28,30.360001,31.09,29.969999,30.51,30.51,372700
ATRO,2019-02-04,30.65,32.77,30.4,32.689999,32.689999,770500
ATRO,2019-02-11,32.75,34.830002,32.400002,33.759998,33.759998,645000
