company,Date,Open,High,Low,Close,Adj Close,Volume
SWKS,2017-06-26,96.639999,97.269997,95.110001,95.949997,84.81752,2194300
SWKS,2017-07-03,96.440002,100.419998,95.150002,99.699997,88.132439,7325200
SWKS,2017-07-10,99.93,104.029999,98.419998,103.989998,91.92469,7310200
SWKS,2017-07-17,104.019997,108.209999,101.870003,107.470001,95.000931,12775600
SWKS,2017-07-24,107.650002,108.559998,104.709999,105.760002,93.489334,10765000
SWKS,2017-07-31,106.370003,106.980003,101.0,102.550003,90.651756,9191600
SWKS,2017-08-07,102.290001,105.980003,101.449997,103.18,91.496315,6290900
SWKS,2017-08-14,104.040001,106.110001,101.169998,102.209999,90.636154,7084200
SWKS,2017-08-21,102.580002,103.379997,100.059998,101.980003,90.432182,5444200
SWKS,2017-08-28,102.089996,106.379997,99.110001,105.57,93.615654,7212100
SWKS,2017-09-04,106.919998,108.940002,104.309998,104.639999,92.79097,6031800
SWKS,2017-09-11,105.699997,109.730003,105.25,109.550003,97.145012,7199400
SWKS,2017-09-18,109.800003,110.610001,101.230003,103.080002,91.407631,10429800
SWKS,2017-09-25,102.169998,102.169998,98.699997,101.900002,90.361244,8659400
SWKS,2017-10-02,102.160004,105.07,101.25,104.959999,93.074745,5987500
SWKS,2017-10-09,105.169998,107.129997,103.330002,106.660004,94.58223,5565700
SWKS,2017-10-16,107.160004,107.82,101.669998,105.150002,93.243233,8102400
SWKS,2017-10-23,105.660004,108.370003,103.379997,107.910004,95.690704,7705600
SWKS,2017-10-30,108.400002,114.800003,108.129997,113.190002,100.372803,13398800
SWKS,2017-11-06,115.239998,117.650002,107.75,110.410004,97.907608,21281200
SWKS,2017-11-13,109.290001,111.739998,107.139999,110.0,97.544022,7593100
SWKS,2017-11-20,109.629997,111.080002,108.419998,109.75,97.322327,4955000
SWKS,2017-11-27,109.199997,109.209999,99.720001,102.230003,90.918381,12721700
SWKS,2017-12-04,102.949997,102.989998,93.050003,96.279999,85.626709,18161000
SWKS,2017-12-11,96.160004,97.5,93.580002,94.629997,84.159286,14060300
SWKS,2017-12-18,95.0,98.949997,94.629997,97.07,86.329308,9998300
SWKS,2017-12-25,94.190002,97.07,93.599998,94.949997,84.443886,6303800
SWKS,2018-01-01,96.0,102.080002,95.120003,101.230003,90.029015,8493000
SWKS,2018-01-08,100.849998,101.800003,97.57,101.209999,90.011223,9045200
SWKS,2018-01-15,102.199997,103.709999,98.050003,99.199997,88.223625,9927600
SWKS,2018-01-22,99.050003,100.730003,95.019997,97.349998,86.578323,14427600
SWKS,2018-01-29,96.68,103.910004,95.510002,98.959999,88.01017,18182800
SWKS,2018-02-05,97.949997,106.739998,94.330002,102.639999,91.28299,24468600
SWKS,2018-02-12,103.110001,105.169998,102.279999,104.110001,92.590347,12258300
SWKS,2018-02-19,104.419998,108.349998,103.720001,108.230003,96.254486,8141300
SWKS,2018-02-26,108.550003,112.279999,105.599998,109.139999,97.356544,9940100
SWKS,2018-03-05,109.220001,114.050003,108.300003,113.559998,101.299324,9026600
SWKS,2018-03-12,114.519997,115.980003,110.410004,110.629997,98.685684,10478000
SWKS,2018-03-19,110.330002,110.980003,101.370003,101.410004,90.461128,9137300
SWKS,2018-03-26,104.029999,105.540001,98.389999,100.260002,89.43528,7810400
SWKS,2018-04-02,99.879997,100.839996,95.220001,95.559998,85.242737,9311500
SWKS,2018-04-09,96.529999,100.980003,95.970001,98.470001,87.838562,7022400
SWKS,2018-04-16,98.860001,99.860001,90.379997,91.18,81.335632,12813900
SWKS,2018-04-23,91.5,91.779999,86.309998,87.080002,77.678299,11564700
SWKS,2018-04-30,87.080002,96.279999,86.129997,96.199997,85.813637,17065700
SWKS,2018-05-07,96.269997,97.730003,92.470001,97.010002,86.536194,12019600
SWKS,2018-05-14,98.099998,100.199997,97.129997,98.489998,87.8564,9518500
SWKS,2018-05-21,99.650002,101.290001,98.199997,100.370003,89.533432,8111500
SWKS,2018-05-28,99.669998,101.0,98.540001,100.970001,90.362221,7027300
SWKS,2018-06-04,100.720001,104.199997,98.18,99.809998,89.324089,11457300
SWKS,2018-06-11,99.809998,102.779999,99.110001,102.699997,91.910469,8010900
SWKS,2018-06-18,102.150002,102.309998,98.07,98.550003,88.19648,8598200
SWKS,2018-06-25,97.959999,98.919998,95.330002,96.650002,86.496086,8059600
SWKS,2018-07-02,95.459999,100.449997,95.050003,100.129997,89.610489,6776600
SWKS,2018-07-09,100.510002,102.099998,97.889999,99.599998,89.136177,6344800
SWKS,2018-07-16,99.900002,103.949997,96.5,96.989998,86.800362,14714100
SWKS,2018-07-23,96.660004,97.400002,92.720001,95.199997,85.19841,11681400
SWKS,2018-07-30,95.160004,95.919998,92.900002,95.610001,85.565353,6333400
SWKS,2018-08-06,94.050003,96.25,92.239998,93.089996,83.310104,8447400
SWKS,2018-08-13,93.580002,94.300003,89.099998,91.849998,82.528358,7907900
SWKS,2018-08-20,91.910004,93.470001,90.580002,92.989998,83.552666,5695800
SWKS,2018-08-27,93.209999,94.379997,90.980003,91.300003,82.034203,7381200
SWKS,2018-09-03,91.120003,91.610001,87.330002,87.480003,78.601868,9328300
SWKS,2018-09-10,87.550003,89.230003,83.050003,87.730003,78.8265,12736300
SWKS,2018-09-17,87.089996,92.540001,86.080002,92.169998,82.815895,13060900
SWKS,2018-09-24,91.739998,93.620003,88.910004,90.709999,81.504074,7742100
SWKS,2018-10-01,91.279999,93.07,86.610001,87.550003,78.664764,7296000
SWKS,2018-10-08,87.239998,88.699997,84.43,87.209999,78.359276,8675000
SWKS,2018-10-15,86.75,89.269997,84.769997,85.160004,76.517326,7825200
SWKS,2018-10-22,85.75,86.5,79.269997,81.080002,72.851379,9234800
SWKS,2018-10-29,82.349998,90.410004,80.580002,85.269997,76.61615,10546000
SWKS,2018-11-05,84.260002,84.339996,75.150002,76.660004,68.879982,18986300
SWKS,2018-11-12,73.93,75.800003,70.720001,72.949997,65.546494,18378100
SWKS,2018-11-19,72.169998,72.709999,68.580002,70.599998,63.434978,9759800
SWKS,2018-11-26,71.370003,72.900002,69.830002,72.769997,65.38475,12551800
SWKS,2018-12-03,74.93,74.949997,67.379997,67.57,61.041039,10186800
SWKS,2018-12-10,66.199997,70.470001,65.809998,68.690002,62.052814,11067400
SWKS,2018-12-17,68.5,70.529999,63.91,64.489998,58.258636,11668900
SWKS,2018-12-24,63.82,68.410004,62.709999,67.220001,60.724861,6221600
SWKS,2018-12-31,67.800003,68.949997,60.119999,63.630001,57.481735,11931600
SWKS,2019-01-07,63.049999,70.919998,62.91,70.019997,63.254299,12560300
SWKS,2019-01-14,69.660004,70.660004,67.120003,70.07,63.299477,8407700
SWKS,2019-01-21,69.720001,73.089996,67.589996,72.470001,65.467567,7259300
SWKS,2019-01-28,71.260002,74.449997,70.690002,73.959999,66.813622,8867500
SWKS,2019-02-04,74.099998,87.480003,73.0,81.709999,73.814751,19874500
SWKS,2019-02-11,81.830002,84.470001,80.610001,83.379997,75.323387,9032300
SWKS,2019-02-18,83.110001,83.57,81.059998,82.419998,74.456131,7888800
SWKS,2019-02-25,83.510002,84.059998,79.739998,81.980003,74.058685,7531900
SWKS,2019-03-04,82.790001,82.980003,78.040001,80.129997,72.72271,6948100
SWKS,2019-03-11,80.589996,85.379997,80.57,83.760002,76.017166,10193900
SWKS,2019-03-18,83.870003,86.889999,81.199997,82.589996,74.955299,9793900
SWKS,2019-03-25,82.269997,82.779999,79.889999,82.480003,74.855469,6709900
SWKS,2019-04-01,83.339996,86.970001,83.25,86.800003,78.776138,6258000
SWKS,2019-04-08,86.599998,90.690002,86.040001,90.68,82.29747,6322600
SWKS,2019-04-15,90.870003,94.389999,89.339996,90.0,81.680321,7894200
SWKS,2019-04-22,89.5,90.639999,85.5,87.019997,78.975792,7194000
SWKS,2019-04-29,86.690002,91.339996,84.040001,87.599998,79.502174,14898800
SWKS,2019-05-06,84.040001,86.790001,80.599998,82.559998,74.928085,10256700
SWKS,2019-05-13,80.0,80.389999,69.910004,70.410004,63.901241,15015900
SWKS,2019-05-20,67.730003,71.440002,66.349998,69.529999,63.102589,15834900
SWKS,2019-05-27,69.949997,70.360001,66.610001,66.629997,60.798782,7314500
SWKS,2019-06-03,67.260002,70.690002,66.290001,70.150002,64.010727,10238700
SWKS,2019-06-10,70.889999,74.730003,70.309998,71.800003,65.51635,10341400
SWKS,2019-06-17,71.650002,77.510002,70.940002,75.220001,68.637047,11209700
SWKS,2019-06-24,75.160004,77.870003,74.239998,77.269997,70.507614,9691800
SWKS,2019-07-01,83.260002,84.5,79.540001,80.330002,73.299812,7418900
SWKS,2019-07-08,79.440002,81.379997,78.160004,81.010002,73.920319,6111800
SWKS,2019-07-15,81.400002,82.339996,79.879997,81.32,74.203186,8311500
SWKS,2019-07-22,81.779999,86.970001,81.730003,85.980003,78.45536,9263900
SWKS,2019-07-29,85.980003,88.769997,78.790001,79.330002,72.387344,10925600
SWKS,2019-08-05,76.860001,80.400002,75.150002,77.519997,70.735733,16837200
SWKS,2019-08-12,77.040001,79.730003,75.309998,76.660004,69.951004,8783600
SWKS,2019-08-19,78.25,78.650002,73.32,73.550003,67.113167,7526600
SWKS,2019-08-26,74.389999,75.629997,71.510002,75.269997,68.682663,6418400
SWKS,2019-09-02,74.860001,80.139999,73.629997,79.870003,73.31871,6352900
SWKS,2019-09-09,80.18,84.349998,78.589996,82.139999,75.402512,8755000
SWKS,2019-09-16,81.779999,82.540001,78.870003,79.75,73.208534,8000300
SWKS,2019-09-23,79.68,81.019997,77.199997,77.470001,71.11557,8983300
SWKS,2019-09-30,78.190002,81.010002,74.419998,80.650002,74.034729,9302100
SWKS,2019-10-07,80.559998,86.470001,78.93,85.400002,78.395103,10026600
SWKS,2019-10-14,85.099998,88.269997,84.599998,87.769997,80.570717,8390000
SWKS,2019-10-21,88.209999,90.900002,87.309998,90.059998,82.672874,7123200
SWKS,2019-10-28,90.980003,98.57,89.290001,98.300003,90.236984,9211000
SWKS,2019-11-04,99.139999,100.809998,97.199997,100.440002,92.201477,8501700
SWKS,2019-11-11,100.050003,102.870003,95.550003,99.419998,91.265121,18487400
SWKS,2019-11-18,98.900002,99.209999,95.300003,97.839996,89.814728,10601500
SWKS,2019-11-25,98.5,101.120003,98.099998,98.300003,90.236984,6382200
SWKS,2019-12-02,98.099998,102.089996,95.629997,101.360001,93.045998,8064200
SWKS,2019-12-09,103.919998,112.860001,101.529999,111.860001,103.146431,14536000
SWKS,2019-12-16,112.860001,119.199997,112.300003,118.900002,109.638046,13639400
SWKS,2019-12-23,119.410004,122.889999,119.120003,122.290001,112.763962,6252300
SWKS,2019-12-30,121.800003,122.400002,117.650002,118.650002,109.407509,7139900
SWKS,2020-01-06,117.040001,121.5,115.080002,120.080002,110.726105,11737500
SWKS,2020-01-13,121.190002,125.75,119.919998,124.169998,114.497505,10956400
SWKS,2020-01-20,124.010002,128.479996,120.790001,122.309998,112.782402,16286800
SWKS,2020-01-27,118.470001,121.07,112.720001,113.150002,104.335945,12332200
SWKS,2020-02-03,113.120003,120.669998,112.699997,113.940002,105.064407,9012300
SWKS,2020-02-10,112.459999,124.519997,111.449997,118.989998,109.721031,9293900
SWKS,2020-02-17,116.07,120.410004,113.470001,114.629997,106.110405,7454200
SWKS,2020-02-24,110.040001,112.889999,91.800003,100.18,92.734367,17098500
SWKS,2020-03-02,101.290001,106.75,93.339996,95.709999,88.596588,16946900
SWKS,2020-03-09,87.330002,95.790001,78.82,83.0,76.831238,20197900
SWKS,2020-03-16,72.690002,81.489998,67.900002,73.669998,68.194656,18404200
SWKS,2020-03-23,74.169998,93.07,71.0,87.089996,80.617249,18972700
SWKS,2020-03-30,88.519997,94.279999,79.510002,80.300003,74.331894,12605500
SWKS,2020-04-06,84.040001,95.300003,83.68,89.949997,83.264687,10101600
SWKS,2020-04-13,90.0,97.629997,88.660004,95.400002,88.309639,10315900
SWKS,2020-04-20,93.839996,96.779999,88.080002,96.510002,89.337151,8387500
SWKS,2020-04-27,97.800003,106.849998,97.559998,98.830002,91.484711,11280200
SWKS,2020-05-04,98.199997,111.290001,96.730003,111.220001,102.953857,15415800
SWKS,2020-05-11,109.940002,112.739998,102.32,106.220001,98.325462,10273900
SWKS,2020-05-18,109.339996,118.18,108.980003,117.019997,108.322784,8377900
SWKS,2020-05-25,120.0,121.379997,114.589996,118.540001,110.160469,8371600
SWKS,2020-06-01,118.150002,137.880005,116.809998,136.160004,126.53492,11143300
SWKS,2020-06-08,137.050003,138.220001,123.059998,126.910004,117.938797,12621500
SWKS,2020-06-15,123.379997,133.369995,122.830002,127.349998,118.347694,11777300
SWKS,2020-06-22,127.160004,129.729996,124.800003,125.849998,116.95372,9024000
SWKS,2020-06-29,126.139999,130.050003,123.410004,128.419998,119.342049,6101200
SWKS,2020-07-06,130.889999,135.229996,129.720001,131.220001,121.944138,7566600
SWKS,2020-07-13,133.320007,134.809998,126.529999,133.949997,124.481155,8025600
SWKS,2020-07-20,134.720001,139.880005,128.559998,131.610001,122.306534,11285600
SWKS,2020-07-27,133.610001,145.899994,132.320007,145.580002,135.289032,12082500
SWKS,2020-08-03,146.929993,149.490005,142.399994,144.369995,134.164566,7926800
SWKS,2020-08-10,143.839996,149.320007,140.770004,146.119995,135.790863,7207800
SWKS,2020-08-17,147.369995,147.679993,139.360001,142.050003,132.467361,7142000
SWKS,2020-08-24,143.669998,144.25,138.699997,143.619995,133.931427,6865400
SWKS,2020-08-31,143.449997,154.240005,133.860001,139.009995,129.632416,12371900
SWKS,2020-09-07,133.100006,140.649994,130.720001,136.149994,126.965363,9060000
SWKS,2020-09-14,137.440002,142.830002,133.669998,136.009995,126.834785,8644600
SWKS,2020-09-21,133.580002,139.699997,131.440002,138.0,128.690552,9169500
SWKS,2020-09-28,140.630005,152.479996,139.020004,146.830002,136.924896,8918800
SWKS,2020-10-05,148.100006,154.839996,146.539993,154.279999,143.872269,8330200
SWKS,2020-10-12,156.479996,158.610001,149.600006,153.149994,142.818542,7528300
SWKS,2020-10-19,154.509995,156.979996,147.330002,149.759995,139.657211,4724300
SWKS,2020-10-26,148.389999,148.759995,139.089996,141.289993,131.758636,7375100
SWKS,2020-11-02,143.380005,149.320007,134.839996,146.740005,136.840942,18506400
SWKS,2020-11-09,151.350006,151.889999,136.860001,141.5,131.954453,10259200
SWKS,2020-11-16,141.0,143.740005,136.0,140.389999,130.919327,8970000
SWKS,2020-11-23,141.050003,141.779999,134.279999,136.160004,127.427284,9555200
SWKS,2020-11-30,136.380005,150.279999,136.380005,150.169998,140.538696,10019200
SWKS,2020-12-07,151.410004,156.0,138.610001,139.240005,130.309738,11661100
